county,candidate,votes
Labette,Jo Jorgensen,3
Labette,Joseph R. Biden,51
Labette,Donald J. Trump,327
Labette,Jo Jorgensen,8
Labette,Joseph R. Biden,12
Labette,Donald J. Trump,90
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,22
Labette,Donald J. Trump,164
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,27
Labette,Donald J. Trump,152
Labette,Jo Jorgensen,4
Labette,Joseph R. Biden,36
Labette,Donald J. Trump,170
Labette,Jo Jorgensen,3
Labette,Joseph R. Biden,54
Labette,Donald J. Trump,169
Labette,Jo Jorgensen,1
Labette,Joseph R. Biden,14
Labette,Donald J. Trump,66
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,46
Labette,Donald J. Trump,313
Labette,Jo Jorgensen,1
Labette,Joseph R. Biden,141
Labette,Donald J. Trump,474
Labette,Jo Jorgensen,22
Labette,Joseph R. Biden,21
Labette,Donald J. Trump,61
Labette,Jo Jorgensen,1
Labette,Joseph R. Biden,85
Labette,Donald J. Trump,238
Labette,Jo Jorgensen,12
Labette,Joseph R. Biden,0
Labette,Donald J. Trump,0
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,65
Labette,Donald J. Trump,201
Labette,Jo Jorgensen,6
Labette,Joseph R. Biden,65
Labette,Donald J. Trump,195
Labette,Jo Jorgensen,7
Labette,Joseph R. Biden,54
Labette,Donald J. Trump,145
Labette,Jo Jorgensen,4
Labette,Joseph R. Biden,26
Labette,Donald J. Trump,114
Labette,Jo Jorgensen,3
Labette,Joseph R. Biden,149
Labette,Donald J. Trump,173
Labette,Jo Jorgensen,8
Labette,Joseph R. Biden,58
Labette,Donald J. Trump,101
Labette,Jo Jorgensen,2
Labette,Joseph R. Biden,70
Labette,Donald J. Trump,73
Labette,Jo Jorgensen,4
Labette,Joseph R. Biden,0
Labette,Donald J. Trump,0
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,56
Labette,Donald J. Trump,45
Labette,Jo Jorgensen,3
Labette,Joseph R. Biden,147
Labette,Donald J. Trump,102
Labette,Jo Jorgensen,8
Labette,Joseph R. Biden,158
Labette,Donald J. Trump,169
Labette,Jo Jorgensen,3
Labette,Joseph R. Biden,0
Labette,Donald J. Trump,0
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,62
Labette,Donald J. Trump,74
Labette,Jo Jorgensen,1
Labette,Joseph R. Biden,180
Labette,Donald J. Trump,202
Labette,Jo Jorgensen,8
Labette,Joseph R. Biden,0
Labette,Donald J. Trump,0
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,143
Labette,Donald J. Trump,162
Labette,Jo Jorgensen,8
Labette,Joseph R. Biden,193
Labette,Donald J. Trump,237
Labette,Jo Jorgensen,12
Labette,Joseph R. Biden,57
Labette,Donald J. Trump,91
Labette,Jo Jorgensen,3
Labette,Joseph R. Biden,116
Labette,Donald J. Trump,121
Labette,Jo Jorgensen,4
Labette,Joseph R. Biden,77
Labette,Donald J. Trump,95
Labette,Jo Jorgensen,9
Labette,Joseph R. Biden,135
Labette,Donald J. Trump,174
Labette,Jo Jorgensen,1
Labette,Joseph R. Biden,129
Labette,Donald J. Trump,276
Labette,Jo Jorgensen,7
Labette,Joseph R. Biden,0
Labette,Donald J. Trump,0
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,68
Labette,Donald J. Trump,247
Labette,Jo Jorgensen,12
Labette,Joseph R. Biden,2
Labette,Donald J. Trump,21
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,4
Labette,Donald J. Trump,27
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,0
Labette,Donald J. Trump,0
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,21
Labette,Donald J. Trump,51
Labette,Jo Jorgensen,0
Labette,Joseph R. Biden,0
Labette,Donald J. Trump,0
Labette,Jo Jorgensen,0
Lane,Joseph R. Biden,2
Lane,Donald J. Trump,36
Lane,Jo Jorgensen,0
Lane,Joseph R. Biden,8
Lane,Donald J. Trump,54
Lane,Jo Jorgensen,0
Lane,Joseph R. Biden,4
Lane,Donald J. Trump,23
Lane,Jo Jorgensen,1
Lane,Joseph R. Biden,16
Lane,Donald J. Trump,118
Lane,Jo Jorgensen,2
Lane,Joseph R. Biden,8
Lane,Donald J. Trump,33
Lane,Jo Jorgensen,0
Lane,Joseph R. Biden,27
Lane,Donald J. Trump,166
Lane,Jo Jorgensen,7
Lane,Joseph R. Biden,43
Lane,Donald J. Trump,218
Lane,Jo Jorgensen,4
Lane,Joseph R. Biden,2
Lane,Donald J. Trump,74
Lane,Jo Jorgensen,4
Lane,Joseph R. Biden,1
Lane,Donald J. Trump,7
Lane,Jo Jorgensen,0
Lane,Joseph R. Biden,4
Lane,Donald J. Trump,33
Lane,Jo Jorgensen,0
Leavenworth,Joseph R. Biden,97
Leavenworth,Donald J. Trump,376
Leavenworth,Jo Jorgensen,11
Leavenworth,Joseph R. Biden,1366
Leavenworth,Donald J. Trump,2316
Leavenworth,Jo Jorgensen,92
Leavenworth,Joseph R. Biden,347
Leavenworth,Donald J. Trump,840
Leavenworth,Jo Jorgensen,28
Leavenworth,Joseph R. Biden,131
Leavenworth,Donald J. Trump,446
Leavenworth,Jo Jorgensen,8
Leavenworth,Joseph R. Biden,599
Leavenworth,Donald J. Trump,1034
Leavenworth,Jo Jorgensen,24
Leavenworth,Joseph R. Biden,370
Leavenworth,Donald J. Trump,909
Leavenworth,Jo Jorgensen,26
Leavenworth,Joseph R. Biden,281
Leavenworth,Donald J. Trump,808
Leavenworth,Jo Jorgensen,28
Leavenworth,Joseph R. Biden,351
Leavenworth,Donald J. Trump,588
Leavenworth,Jo Jorgensen,31
Leavenworth,Joseph R. Biden,602
Leavenworth,Donald J. Trump,778
Leavenworth,Jo Jorgensen,47
Leavenworth,Joseph R. Biden,541
Leavenworth,Donald J. Trump,620
Leavenworth,Jo Jorgensen,38
Leavenworth,Joseph R. Biden,508
Leavenworth,Donald J. Trump,672
Leavenworth,Jo Jorgensen,51
Leavenworth,Joseph R. Biden,227
Leavenworth,Donald J. Trump,150
Leavenworth,Jo Jorgensen,19
Leavenworth,Joseph R. Biden,167
Leavenworth,Donald J. Trump,178
Leavenworth,Jo Jorgensen,8
Leavenworth,Joseph R. Biden,189
Leavenworth,Donald J. Trump,169
Leavenworth,Jo Jorgensen,12
Leavenworth,Joseph R. Biden,262
Leavenworth,Donald J. Trump,261
Leavenworth,Jo Jorgensen,14
Leavenworth,Joseph R. Biden,276
Leavenworth,Donald J. Trump,283
Leavenworth,Jo Jorgensen,22
Leavenworth,Joseph R. Biden,151
Leavenworth,Donald J. Trump,161
Leavenworth,Jo Jorgensen,11
Leavenworth,Joseph R. Biden,242
Leavenworth,Donald J. Trump,224
Leavenworth,Jo Jorgensen,17
Leavenworth,Joseph R. Biden,197
Leavenworth,Donald J. Trump,204
Leavenworth,Jo Jorgensen,10
Leavenworth,Joseph R. Biden,287
Leavenworth,Donald J. Trump,416
Leavenworth,Jo Jorgensen,27
Leavenworth,Joseph R. Biden,208
Leavenworth,Donald J. Trump,268
Leavenworth,Jo Jorgensen,23
Leavenworth,Joseph R. Biden,286
Leavenworth,Donald J. Trump,321
Leavenworth,Jo Jorgensen,17
Leavenworth,Joseph R. Biden,259
Leavenworth,Donald J. Trump,226
Leavenworth,Jo Jorgensen,12
Leavenworth,Joseph R. Biden,226
Leavenworth,Donald J. Trump,224
Leavenworth,Jo Jorgensen,13
Leavenworth,Joseph R. Biden,346
Leavenworth,Donald J. Trump,515
Leavenworth,Jo Jorgensen,30
Leavenworth,Joseph R. Biden,385
Leavenworth,Donald J. Trump,488
Leavenworth,Jo Jorgensen,32
Leavenworth,Joseph R. Biden,128
Leavenworth,Donald J. Trump,45
Leavenworth,Jo Jorgensen,3
Leavenworth,Joseph R. Biden,681
Leavenworth,Donald J. Trump,813
Leavenworth,Jo Jorgensen,53
Leavenworth,Joseph R. Biden,892
Leavenworth,Donald J. Trump,1043
Leavenworth,Jo Jorgensen,60
Leavenworth,Joseph R. Biden,572
Leavenworth,Donald J. Trump,1092
Leavenworth,Jo Jorgensen,26
Leavenworth,Joseph R. Biden,0
Leavenworth,Donald J. Trump,0
Leavenworth,Jo Jorgensen,0
Leavenworth,Joseph R. Biden,272
Leavenworth,Donald J. Trump,660
Leavenworth,Jo Jorgensen,19
Leavenworth,Joseph R. Biden,605
Leavenworth,Donald J. Trump,1074
Leavenworth,Jo Jorgensen,49
Leavenworth,Joseph R. Biden,369
Leavenworth,Donald J. Trump,564
Leavenworth,Jo Jorgensen,36
Leavenworth,Joseph R. Biden,449
Leavenworth,Donald J. Trump,1110
Leavenworth,Jo Jorgensen,36
Leavenworth,Joseph R. Biden,204
Leavenworth,Donald J. Trump,511
Leavenworth,Jo Jorgensen,11
Leavenworth,Joseph R. Biden,128
Leavenworth,Donald J. Trump,163
Leavenworth,Jo Jorgensen,4
Leavenworth,Joseph R. Biden,70
Leavenworth,Donald J. Trump,107
Leavenworth,Jo Jorgensen,10
Leavenworth,Joseph R. Biden,0
Leavenworth,Donald J. Trump,0
Leavenworth,Jo Jorgensen,0
Leavenworth,Joseph R. Biden,0
Leavenworth,Donald J. Trump,0
Leavenworth,Jo Jorgensen,0
Leavenworth,Joseph R. Biden,61
Leavenworth,Donald J. Trump,84
Leavenworth,Jo Jorgensen,8
Leavenworth,Joseph R. Biden,343
Leavenworth,Donald J. Trump,440
Leavenworth,Jo Jorgensen,10
Leavenworth,Joseph R. Biden,62
Leavenworth,Donald J. Trump,148
Leavenworth,Jo Jorgensen,7
Leavenworth,Joseph R. Biden,27
Leavenworth,Donald J. Trump,77
Leavenworth,Jo Jorgensen,3
Leavenworth,Joseph R. Biden,8
Leavenworth,Donald J. Trump,2
Leavenworth,Jo Jorgensen,0
Leavenworth,Joseph R. Biden,114
Leavenworth,Donald J. Trump,202
Leavenworth,Jo Jorgensen,8
Leavenworth,Joseph R. Biden,0
Leavenworth,Donald J. Trump,0
Leavenworth,Jo Jorgensen,0
Leavenworth,Joseph R. Biden,0
Leavenworth,Donald J. Trump,0
Leavenworth,Jo Jorgensen,0
Leavenworth,Joseph R. Biden,0
Leavenworth,Donald J. Trump,0
Leavenworth,Jo Jorgensen,0
Leavenworth,Joseph R. Biden,0
Leavenworth,Donald J. Trump,0
Leavenworth,Jo Jorgensen,0
Lincoln,Joseph R. Biden,2
Lincoln,Donald J. Trump,15
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,7
Lincoln,Donald J. Trump,27
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,2
Lincoln,Donald J. Trump,24
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,23
Lincoln,Donald J. Trump,90
Lincoln,Jo Jorgensen,2
Lincoln,Joseph R. Biden,6
Lincoln,Donald J. Trump,53
Lincoln,Jo Jorgensen,3
Lincoln,Joseph R. Biden,12
Lincoln,Donald J. Trump,42
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,11
Lincoln,Donald J. Trump,20
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,3
Lincoln,Donald J. Trump,35
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,1
Lincoln,Donald J. Trump,22
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,13
Lincoln,Donald J. Trump,28
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,3
Lincoln,Donald J. Trump,35
Lincoln,Jo Jorgensen,2
Lincoln,Joseph R. Biden,50
Lincoln,Donald J. Trump,204
Lincoln,Jo Jorgensen,6
Lincoln,Joseph R. Biden,57
Lincoln,Donald J. Trump,243
Lincoln,Jo Jorgensen,6
Lincoln,Joseph R. Biden,0
Lincoln,Donald J. Trump,0
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,7
Lincoln,Donald J. Trump,30
Lincoln,Jo Jorgensen,1
Lincoln,Joseph R. Biden,10
Lincoln,Donald J. Trump,46
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,5
Lincoln,Donald J. Trump,22
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,2
Lincoln,Donald J. Trump,39
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,27
Lincoln,Donald J. Trump,177
Lincoln,Jo Jorgensen,7
Lincoln,Joseph R. Biden,6
Lincoln,Donald J. Trump,20
Lincoln,Jo Jorgensen,1
Lincoln,Joseph R. Biden,9
Lincoln,Donald J. Trump,43
Lincoln,Jo Jorgensen,1
Lincoln,Joseph R. Biden,3
Lincoln,Donald J. Trump,23
Lincoln,Jo Jorgensen,0
Lincoln,Joseph R. Biden,7
Lincoln,Donald J. Trump,45
Lincoln,Jo Jorgensen,1
Lincoln,Joseph R. Biden,0
Lincoln,Donald J. Trump,0
Lincoln,Jo Jorgensen,0
Linn,Joseph R. Biden,27
Linn,Donald J. Trump,211
Linn,Jo Jorgensen,4
Linn,Joseph R. Biden,41
Linn,Donald J. Trump,205
Linn,Jo Jorgensen,2
Linn,Joseph R. Biden,97
Linn,Donald J. Trump,408
Linn,Jo Jorgensen,10
Linn,Joseph R. Biden,149
Linn,Donald J. Trump,565
Linn,Jo Jorgensen,12
Linn,Joseph R. Biden,221
Linn,Donald J. Trump,788
Linn,Jo Jorgensen,23
Linn,Joseph R. Biden,66
Linn,Donald J. Trump,372
Linn,Jo Jorgensen,12
Linn,Joseph R. Biden,53
Linn,Donald J. Trump,226
Linn,Jo Jorgensen,2
Linn,Joseph R. Biden,78
Linn,Donald J. Trump,335
Linn,Jo Jorgensen,11
Linn,Joseph R. Biden,38
Linn,Donald J. Trump,209
Linn,Jo Jorgensen,5
Linn,Joseph R. Biden,56
Linn,Donald J. Trump,223
Linn,Jo Jorgensen,4
Linn,Joseph R. Biden,54
Linn,Donald J. Trump,371
Linn,Jo Jorgensen,14
Linn,Joseph R. Biden,4
Linn,Donald J. Trump,94
Linn,Jo Jorgensen,1
Linn,Joseph R. Biden,12
Linn,Donald J. Trump,41
Linn,Jo Jorgensen,2
Logan,Joseph R. Biden,0
Logan,Donald J. Trump,13
Logan,Jo Jorgensen,0
Logan,Joseph R. Biden,0
Logan,Donald J. Trump,10
Logan,Jo Jorgensen,0
Logan,Joseph R. Biden,3
Logan,Donald J. Trump,10
Logan,Jo Jorgensen,0
Logan,Joseph R. Biden,0
Logan,Donald J. Trump,3
Logan,Jo Jorgensen,0
Logan,Joseph R. Biden,0
Logan,Donald J. Trump,23
Logan,Jo Jorgensen,0
Logan,Joseph R. Biden,6
Logan,Donald J. Trump,62
Logan,Jo Jorgensen,3
Logan,Joseph R. Biden,86
Logan,Donald J. Trump,565
Logan,Jo Jorgensen,15
Logan,Joseph R. Biden,73
Logan,Donald J. Trump,351
Logan,Jo Jorgensen,5
Logan,Joseph R. Biden,0
Logan,Donald J. Trump,20
Logan,Jo Jorgensen,0
Logan,Joseph R. Biden,4
Logan,Donald J. Trump,27
Logan,Jo Jorgensen,0
Logan,Joseph R. Biden,0
Logan,Donald J. Trump,21
Logan,Jo Jorgensen,0
Logan,Joseph R. Biden,14
Logan,Donald J. Trump,144
Logan,Jo Jorgensen,0
Lyon,Joseph R. Biden,337
Lyon,Donald J. Trump,181
Lyon,Jo Jorgensen,15
Lyon,Joseph R. Biden,251
Lyon,Donald J. Trump,128
Lyon,Jo Jorgensen,11
Lyon,Joseph R. Biden,272
Lyon,Donald J. Trump,225
Lyon,Jo Jorgensen,15
Lyon,Joseph R. Biden,313
Lyon,Donald J. Trump,255
Lyon,Jo Jorgensen,25
Lyon,Joseph R. Biden,233
Lyon,Donald J. Trump,166
Lyon,Jo Jorgensen,18
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,278
Lyon,Donald J. Trump,140
Lyon,Jo Jorgensen,19
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,132
Lyon,Donald J. Trump,71
Lyon,Jo Jorgensen,10
Lyon,Joseph R. Biden,263
Lyon,Donald J. Trump,167
Lyon,Jo Jorgensen,27
Lyon,Joseph R. Biden,205
Lyon,Donald J. Trump,167
Lyon,Jo Jorgensen,18
Lyon,Joseph R. Biden,185
Lyon,Donald J. Trump,202
Lyon,Jo Jorgensen,9
Lyon,Joseph R. Biden,204
Lyon,Donald J. Trump,160
Lyon,Jo Jorgensen,11
Lyon,Joseph R. Biden,172
Lyon,Donald J. Trump,135
Lyon,Jo Jorgensen,16
Lyon,Joseph R. Biden,236
Lyon,Donald J. Trump,267
Lyon,Jo Jorgensen,26
Lyon,Joseph R. Biden,337
Lyon,Donald J. Trump,264
Lyon,Jo Jorgensen,19
Lyon,Joseph R. Biden,155
Lyon,Donald J. Trump,146
Lyon,Jo Jorgensen,8
Lyon,Joseph R. Biden,249
Lyon,Donald J. Trump,221
Lyon,Jo Jorgensen,12
Lyon,Joseph R. Biden,237
Lyon,Donald J. Trump,235
Lyon,Jo Jorgensen,8
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,198
Lyon,Donald J. Trump,221
Lyon,Jo Jorgensen,13
Lyon,Joseph R. Biden,312
Lyon,Donald J. Trump,400
Lyon,Jo Jorgensen,7
Lyon,Joseph R. Biden,292
Lyon,Donald J. Trump,352
Lyon,Jo Jorgensen,12
Lyon,Joseph R. Biden,45
Lyon,Donald J. Trump,195
Lyon,Jo Jorgensen,4
Lyon,Joseph R. Biden,27
Lyon,Donald J. Trump,90
Lyon,Jo Jorgensen,7
Lyon,Joseph R. Biden,34
Lyon,Donald J. Trump,109
Lyon,Jo Jorgensen,3
Lyon,Joseph R. Biden,210
Lyon,Donald J. Trump,545
Lyon,Jo Jorgensen,21
Lyon,Joseph R. Biden,134
Lyon,Donald J. Trump,402
Lyon,Jo Jorgensen,11
Lyon,Joseph R. Biden,65
Lyon,Donald J. Trump,166
Lyon,Jo Jorgensen,6
Lyon,Joseph R. Biden,127
Lyon,Donald J. Trump,329
Lyon,Jo Jorgensen,2
Lyon,Joseph R. Biden,127
Lyon,Donald J. Trump,264
Lyon,Jo Jorgensen,5
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,50
Lyon,Donald J. Trump,125
Lyon,Jo Jorgensen,2
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,134
Lyon,Donald J. Trump,407
Lyon,Jo Jorgensen,9
Lyon,Joseph R. Biden,150
Lyon,Donald J. Trump,503
Lyon,Jo Jorgensen,5
Lyon,Joseph R. Biden,83
Lyon,Donald J. Trump,302
Lyon,Jo Jorgensen,9
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,2
Lyon,Donald J. Trump,1
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,2
Lyon,Donald J. Trump,4
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,3
Lyon,Donald J. Trump,2
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,0
Lyon,Donald J. Trump,0
Lyon,Jo Jorgensen,0
Lyon,Joseph R. Biden,1
Lyon,Donald J. Trump,3
Lyon,Jo Jorgensen,0
McPherson,Joseph R. Biden,11
McPherson,Donald J. Trump,43
McPherson,Jo Jorgensen,1
McPherson,Joseph R. Biden,5
McPherson,Donald J. Trump,23
McPherson,Jo Jorgensen,0
McPherson,Joseph R. Biden,66
McPherson,Donald J. Trump,346
McPherson,Jo Jorgensen,8
McPherson,Joseph R. Biden,14
McPherson,Donald J. Trump,82
McPherson,Jo Jorgensen,2
McPherson,Joseph R. Biden,14
McPherson,Donald J. Trump,74
McPherson,Jo Jorgensen,4
McPherson,Joseph R. Biden,84
McPherson,Donald J. Trump,498
McPherson,Jo Jorgensen,8
McPherson,Joseph R. Biden,24
McPherson,Donald J. Trump,78
McPherson,Jo Jorgensen,3
McPherson,Joseph R. Biden,23
McPherson,Donald J. Trump,82
McPherson,Jo Jorgensen,0
McPherson,Joseph R. Biden,13
McPherson,Donald J. Trump,72
McPherson,Jo Jorgensen,0
McPherson,Joseph R. Biden,27
McPherson,Donald J. Trump,91
McPherson,Jo Jorgensen,1
McPherson,Joseph R. Biden,18
McPherson,Donald J. Trump,77
McPherson,Jo Jorgensen,2
McPherson,Joseph R. Biden,76
McPherson,Donald J. Trump,225
McPherson,Jo Jorgensen,10
McPherson,Joseph R. Biden,169
McPherson,Donald J. Trump,210
McPherson,Jo Jorgensen,12
McPherson,Joseph R. Biden,244
McPherson,Donald J. Trump,275
McPherson,Jo Jorgensen,16
McPherson,Joseph R. Biden,190
McPherson,Donald J. Trump,226
McPherson,Jo Jorgensen,11
McPherson,Joseph R. Biden,202
McPherson,Donald J. Trump,250
McPherson,Jo Jorgensen,12
McPherson,Joseph R. Biden,36
McPherson,Donald J. Trump,210
McPherson,Jo Jorgensen,3
McPherson,Joseph R. Biden,37
McPherson,Donald J. Trump,87
McPherson,Jo Jorgensen,1
McPherson,Joseph R. Biden,106
McPherson,Donald J. Trump,278
McPherson,Jo Jorgensen,10
McPherson,Joseph R. Biden,83
McPherson,Donald J. Trump,246
McPherson,Jo Jorgensen,10
McPherson,Joseph R. Biden,40
McPherson,Donald J. Trump,98
McPherson,Jo Jorgensen,7
McPherson,Joseph R. Biden,310
McPherson,Donald J. Trump,651
McPherson,Jo Jorgensen,31
McPherson,Joseph R. Biden,50
McPherson,Donald J. Trump,239
McPherson,Jo Jorgensen,4
McPherson,Joseph R. Biden,51
McPherson,Donald J. Trump,122
McPherson,Jo Jorgensen,7
McPherson,Joseph R. Biden,5
McPherson,Donald J. Trump,42
McPherson,Jo Jorgensen,1
McPherson,Joseph R. Biden,22
McPherson,Donald J. Trump,129
McPherson,Jo Jorgensen,5
McPherson,Joseph R. Biden,154
McPherson,Donald J. Trump,684
McPherson,Jo Jorgensen,12
McPherson,Joseph R. Biden,23
McPherson,Donald J. Trump,121
McPherson,Jo Jorgensen,3
McPherson,Joseph R. Biden,19
McPherson,Donald J. Trump,88
McPherson,Jo Jorgensen,0
McPherson,Joseph R. Biden,1158
McPherson,Donald J. Trump,2215
McPherson,Jo Jorgensen,70
McPherson,Joseph R. Biden,312
McPherson,Donald J. Trump,703
McPherson,Jo Jorgensen,21
McPherson,Joseph R. Biden,162
McPherson,Donald J. Trump,436
McPherson,Jo Jorgensen,20
McPherson,Joseph R. Biden,386
McPherson,Donald J. Trump,963
McPherson,Jo Jorgensen,45
McPherson,Joseph R. Biden,0
McPherson,Donald J. Trump,0
McPherson,Jo Jorgensen,0
Marion,Joseph R. Biden,19
Marion,Donald J. Trump,69
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,23
Marion,Donald J. Trump,85
Marion,Jo Jorgensen,1
Marion,Joseph R. Biden,70
Marion,Donald J. Trump,273
Marion,Jo Jorgensen,4
Marion,Joseph R. Biden,8
Marion,Donald J. Trump,60
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,38
Marion,Donald J. Trump,222
Marion,Jo Jorgensen,3
Marion,Joseph R. Biden,26
Marion,Donald J. Trump,68
Marion,Jo Jorgensen,1
Marion,Joseph R. Biden,1
Marion,Donald J. Trump,17
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,29
Marion,Donald J. Trump,70
Marion,Jo Jorgensen,3
Marion,Joseph R. Biden,38
Marion,Donald J. Trump,76
Marion,Jo Jorgensen,3
Marion,Joseph R. Biden,9
Marion,Donald J. Trump,59
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,18
Marion,Donald J. Trump,61
Marion,Jo Jorgensen,3
Marion,Joseph R. Biden,0
Marion,Donald J. Trump,0
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,21
Marion,Donald J. Trump,76
Marion,Jo Jorgensen,1
Marion,Joseph R. Biden,37
Marion,Donald J. Trump,126
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,21
Marion,Donald J. Trump,69
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,126
Marion,Donald J. Trump,410
Marion,Jo Jorgensen,24
Marion,Joseph R. Biden,0
Marion,Donald J. Trump,0
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,33
Marion,Donald J. Trump,119
Marion,Jo Jorgensen,4
Marion,Joseph R. Biden,45
Marion,Donald J. Trump,147
Marion,Jo Jorgensen,10
Marion,Joseph R. Biden,4
Marion,Donald J. Trump,25
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,16
Marion,Donald J. Trump,79
Marion,Jo Jorgensen,2
Marion,Joseph R. Biden,160
Marion,Donald J. Trump,369
Marion,Jo Jorgensen,7
Marion,Joseph R. Biden,115
Marion,Donald J. Trump,361
Marion,Jo Jorgensen,9
Marion,Joseph R. Biden,0
Marion,Donald J. Trump,0
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,58
Marion,Donald J. Trump,136
Marion,Jo Jorgensen,7
Marion,Joseph R. Biden,18
Marion,Donald J. Trump,88
Marion,Jo Jorgensen,4
Marion,Joseph R. Biden,8
Marion,Donald J. Trump,33
Marion,Jo Jorgensen,0
Marion,Joseph R. Biden,80
Marion,Donald J. Trump,130
Marion,Jo Jorgensen,3
Marion,Joseph R. Biden,73
Marion,Donald J. Trump,213
Marion,Jo Jorgensen,6
Marion,Joseph R. Biden,22
Marion,Donald J. Trump,112
Marion,Jo Jorgensen,1
Marion,Joseph R. Biden,11
Marion,Donald J. Trump,28
Marion,Jo Jorgensen,1
Marion,Joseph R. Biden,199
Marion,Donald J. Trump,324
Marion,Jo Jorgensen,8
Marion,Joseph R. Biden,8
Marion,Donald J. Trump,105
Marion,Jo Jorgensen,6
Marion,Joseph R. Biden,182
Marion,Donald J. Trump,455
Marion,Jo Jorgensen,19
Marion,Joseph R. Biden,0
Marion,Donald J. Trump,0
Marion,Jo Jorgensen,0
Marshall,Joseph R. Biden,2
Marshall,Donald J. Trump,42
Marshall,Jo Jorgensen,0
Marshall,Joseph R. Biden,7
Marshall,Donald J. Trump,14
Marshall,Jo Jorgensen,0
Marshall,Joseph R. Biden,104
Marshall,Donald J. Trump,355
Marshall,Jo Jorgensen,6
Marshall,Joseph R. Biden,9
Marshall,Donald J. Trump,36
Marshall,Jo Jorgensen,0
Marshall,Joseph R. Biden,13
Marshall,Donald J. Trump,64
Marshall,Jo Jorgensen,3
Marshall,Joseph R. Biden,5
Marshall,Donald J. Trump,26
Marshall,Jo Jorgensen,0
Marshall,Joseph R. Biden,12
Marshall,Donald J. Trump,40
Marshall,Jo Jorgensen,0
Marshall,Joseph R. Biden,8
Marshall,Donald J. Trump,63
Marshall,Jo Jorgensen,1
Marshall,Joseph R. Biden,94
Marshall,Donald J. Trump,163
Marshall,Jo Jorgensen,11
Marshall,Joseph R. Biden,21
Marshall,Donald J. Trump,74
Marshall,Jo Jorgensen,4
Marshall,Joseph R. Biden,18
Marshall,Donald J. Trump,105
Marshall,Jo Jorgensen,5
Marshall,Joseph R. Biden,10
