county,candidate,votes
Adams,Joe Schriner,0
Adams,Joseph R. Biden,116
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,394
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,6
Adams,Joe Schriner,0
Adams,Joseph R. Biden,31
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,469
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,11
Adams,Joe Schriner,0
Adams,Joseph R. Biden,116
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,474
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,5
Adams,Joe Schriner,0
Adams,Joseph R. Biden,110
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,404
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,6
Adams,Joe Schriner,0
Adams,Joseph R. Biden,86
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,263
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,1
Adams,Joe Schriner,0
Adams,Joseph R. Biden,57
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Adams,Abram Loeb,0
Adams,Brian Carroll,0
Adams,Christopher Stried,0
Adams,Deborah Rouse,0
Adams,Donald J. Trump,453
Adams,Howie Hawkins,0
Adams,James L Johnson Jr.,0
Adams,Jo Jorgensen,11
Adams,Joe Schriner,0
Adams,Joseph R. Biden,127
Adams,Kasey Wells,0
Adams,Mitchell Williams,0
Adams,Randall F,0
Adams,Shawn Howard,0
Adams,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,123
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,9
Allen,Joe Schriner,0
Allen,Joseph R. Biden,210
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,125
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,9
Allen,Joe Schriner,0
Allen,Joseph R. Biden,184
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,375
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,18
Allen,Joe Schriner,0
Allen,Joseph R. Biden,321
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,295
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,10
Allen,Joe Schriner,0
Allen,Joseph R. Biden,227
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,336
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,17
Allen,Joe Schriner,0
Allen,Joseph R. Biden,305
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,229
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,11
Allen,Joe Schriner,0
Allen,Joseph R. Biden,308
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,181
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,3
Allen,Joe Schriner,0
Allen,Joseph R. Biden,128
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,278
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,12
Allen,Joe Schriner,0
Allen,Joseph R. Biden,223
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,601
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,30
Allen,Joe Schriner,0
Allen,Joseph R. Biden,358
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,89
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,2
Allen,Joe Schriner,0
Allen,Joseph R. Biden,97
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,441
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,24
Allen,Joe Schriner,0
Allen,Joseph R. Biden,331
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,399
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,16
Allen,Joe Schriner,0
Allen,Joseph R. Biden,251
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,268
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,17
Allen,Joe Schriner,0
Allen,Joseph R. Biden,270
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,641
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,18
Allen,Joe Schriner,0
Allen,Joseph R. Biden,593
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,390
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,17
Allen,Joe Schriner,0
Allen,Joseph R. Biden,351
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,154
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,7
Allen,Joe Schriner,0
Allen,Joseph R. Biden,170
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,299
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,18
Allen,Joe Schriner,0
Allen,Joseph R. Biden,199
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,390
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,14
Allen,Joe Schriner,0
Allen,Joseph R. Biden,211
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,509
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,21
Allen,Joe Schriner,0
Allen,Joseph R. Biden,445
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,442
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,20
Allen,Joe Schriner,0
Allen,Joseph R. Biden,320
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,454
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,14
Allen,Joe Schriner,0
Allen,Joseph R. Biden,327
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,698
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,33
Allen,Joe Schriner,0
Allen,Joseph R. Biden,425
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,317
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,17
Allen,Joe Schriner,0
Allen,Joseph R. Biden,282
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,286
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,11
Allen,Joe Schriner,0
Allen,Joseph R. Biden,232
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,463
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,15
Allen,Joe Schriner,0
Allen,Joseph R. Biden,354
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,571
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,25
Allen,Joe Schriner,0
Allen,Joseph R. Biden,342
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,520
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,10
Allen,Joe Schriner,0
Allen,Joseph R. Biden,236
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,555
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,15
Allen,Joe Schriner,0
Allen,Joseph R. Biden,285
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,615
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,20
Allen,Joe Schriner,0
Allen,Joseph R. Biden,404
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,361
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,10
Allen,Joe Schriner,0
Allen,Joseph R. Biden,231
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,493
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,17
Allen,Joe Schriner,0
Allen,Joseph R. Biden,346
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,423
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,13
Allen,Joe Schriner,0
Allen,Joseph R. Biden,333
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,3
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,0
Allen,Joe Schriner,0
Allen,Joseph R. Biden,2
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,198
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,12
Allen,Joe Schriner,0
Allen,Joseph R. Biden,151
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,216
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,10
Allen,Joe Schriner,0
Allen,Joseph R. Biden,181
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,277
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,31
Allen,Joe Schriner,0
Allen,Joseph R. Biden,343
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,376
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,18
Allen,Joe Schriner,0
Allen,Joseph R. Biden,378
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,399
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,26
Allen,Joe Schriner,0
Allen,Joseph R. Biden,551
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
Allen,Randall F,0
Allen,Shawn Howard,0
Allen,Valerie Mccray,0
Allen,Abram Loeb,0
Allen,Brian Carroll,0
Allen,Christopher Stried,0
Allen,Deborah Rouse,0
Allen,Donald J. Trump,349
Allen,Howie Hawkins,0
Allen,James L Johnson Jr.,0
Allen,Jo Jorgensen,19
Allen,Joe Schriner,0
Allen,Joseph R. Biden,422
Allen,Kasey Wells,0
Allen,Mitchell Williams,0
