"COCONINO COUNTY
GENERAL ELECTION
NOVEMBER 3, 2020
SUMMARY OF FINAL RESULTS";;TOTAL;FLAGSTAFF 1;FLAGSTAFF 2;FLAGSTAFF 3;FLAGSTAFF 4;FLAGSTAFF 5;FLAGSTAFF 6;FLAGSTAFF 7;FLAGSTAFF 8;FLAGSTAFF 9;FLAGSTAFF 10;FLAGSTAFF 11;FLAGSTAFF 12;FLAGSTAFF 13;FLAGSTAFF 14;FLAGSTAFF 15;FLAGSTAFF 16;FLAGSTAFF 17;FLAGSTAFF 18;FLAGSTAFF 19;FLAGSTAFF 20;FLAGSTAFF 21;FLAGSTAFF 22;FLAGSTAFF 23;FLAGSTAFF 24;FLAGSTAFF 25;FLAGSTAFF 26;BELLEMONT 40;BLUE RIDGE 41;BODAWAY 42;CAMERON 43;COPPERMINE 47;COALMINE 48;DONEY PARK 50;SCHULTZ 51;TIMBERLINE FERNWOOD 52;FOREST LAKES 53;FORT VALLEY EAST 55;FORT VALLEY WEST 56;FREDONIA 58;GRAND CANYON 59;HAVASUPAI 60;INSCRIPTION HOUSE 61;PUMPHOUSE WASH 62;MORMON LAKE 63;KAIBAB NORTH 64;KAIBETO 65;KAIBAB WEST 66;LECHEE 67;LEUPP 69;MOENKOPI 70;NAVAJO MOUNTAIN 71;PAGE CENTRAL 72;PAGE EAST 73;PAGE SOUTH 74;PAGE WEST 75;PARKS 79;PINEWOOD 80;SEDONA NORTH 82;SEDONA SOUTH 83;RANCHES 84;SUNSET CRATER 85;MOUNTAIN VIEW 86;TOLANI LAKE 88;TONALEA 90;WINONA 92;TUBA CITY NORTHEAST 93;TUBA CITY NORTHWEST 94;TUBA CITY SOUTH 95;TUSAYAN 97;WILLIAMS NORTHSIDE 98;WILLIAMS SOUTHSIDE 99
U.S. SENATOR;BALLOTS CAST;73968;1567;1290;951;1527;2017;1808;1330;824;1675;203;861;1090;326;1234;2351;1761;619;681;1665;576;2062;2721;1519;2602;1814;999;638;615;763;816;426;214;1826;77;1678;153;321;691;612;672;63;475;2849;184;19;984;584;752;1067;296;99;830;850;635;966;1023;897;801;1433;494;1707;246;319;1432;1586;810;672;2721;607;2134;858
U.S. SENATOR;KELLY, MARK;45561;1195;1076;806;1128;1347;1099;868;608;1219;156;604;900;246;915;1676;1203;381;393;1011;432;1300;1652;1014;1500;1145;571;289;148;607;663;349;177;783;38;716;42;199;365;143;496;54;346;1733;72;5;791;164;564;856;246;77;373;311;348;416;306;333;451;806;233;707;100;267;1193;718;654;565;2297;255;539;321
U.S. SENATOR;MCSALLY, MARTHA;27255;348;195;136;377;652;672;439;209;427;42;240;166;69;287;632;540;225;277;637;126;729;1034;478;1064;650;404;340;460;151;145;70;32;1020;37;942;107;117;319;460;170;7;123;1077;108;14;182;403;176;191;42;21;441;527;270;534;703;555;341;610;256;969;142;50;226;834;141;92;381;338;1559;517
U.S. SENATOR;Write-in;176;5;4;1;1;4;8;1;1;5;0;3;4;1;3;7;1;3;1;2;3;3;5;3;4;3;5;1;0;1;1;1;0;5;0;2;1;0;1;2;1;0;0;5;1;0;1;5;5;6;0;0;0;1;1;1;3;1;1;1;0;8;0;0;2;3;4;2;15;3;7;3
U.S. SENATOR;OVER VOTES;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
U.S. SENATOR;UNDER VOTES;972;19;15;8;21;14;29;22;6;24;5;14;20;10;29;36;17;10;9;15;15;30;30;24;34;16;19;8;7;4;7;6;5;18;2;17;3;5;6;7;5;2;6;34;3;0;10;12;7;14;8;1;16;11;16;15;11;8;8;16;5;23;3;2;11;31;10;13;28;11;29;17
U.S. REPRESENTATIVE IN CONGRESS DISTRICT 1;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
U.S. REPRESENTATIVE IN CONGRESS DISTRICT 1;BALLOTS CAST;73968;1567;1290;951;1527;2017;1808;1330;824;1675;203;861;1090;326;1234;2351;1761;619;681;1665;576;2062;2721;1519;2602;1814;999;638;615;763;816;426;214;1826;77;1678;153;321;691;612;672;63;475;2849;184;19;984;584;752;1067;296;99;830;850;635;966;1023;897;801;1433;494;1707;246;319;1432;1586;810;672;2721;607;2134;858
U.S. REPRESENTATIVE IN CONGRESS DISTRICT 1;O'HALLERAN, TOM;44842;1174;1044;795;1143;1349;1074;851;611;1161;142;591;847;230;872;1638;1190;388;393;994;417;1280;1642;996;1483;1115;561;279;149;592;662;333;175;780;35;715;43;201;346;120;489;54;335;1681;71;4;795;156;554;862;248;78;374;304;328;400;310;338;450;792;229;693;97;267;1159;712;667;558;2281;265;566;314
U.S. REPRESENTATIVE IN CONGRESS DISTRICT 1;SHEDD, TIFFANY;26800;350;203;132;341;622;658;423;197;434;46;236;176;62;288;623;526;213;263;618;121;690;987;468;1031;646;402;333;450;163;137;83;32;1003;39;934;104;111;322;470;169;7;131;1069;106;15;174;404;179;189;40;20;430;528;287;525;687;536;333;605;252;965;141;47;243;821;131;99;399;319;1508;504
U.S. REPRESENTATIVE IN CONGRESS DISTRICT 1;Write-in;107;2;3;1;0;1;4;1;1;4;0;2;5;2;3;7;2;1;0;2;2;2;4;3;2;2;3;2;0;1;1;1;1;2;0;3;1;0;1;1;2;0;0;5;0;0;0;1;0;0;1;0;1;0;0;0;1;2;0;2;1;2;0;0;2;3;2;2;3;1;2;1
U.S. REPRESENTATIVE IN CONGRESS DISTRICT 1;OVER VOTES;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
U.S. REPRESENTATIVE IN CONGRESS DISTRICT 1;UNDER VOTES;2213;41;40;23;43;45;72;55;15;76;15;31;62;32;71;83;43;17;25;51;36;90;88;52;86;50;32;24;16;7;16;9;6;41;3;26;5;9;22;21;12;2;9;93;7;0;15;22;19;16;7;1;25;18;20;41;25;21;18;34;12;47;8;5;28;49;10;13;38;22;58;39
STATE SENATOR DISTRICT 6;REGISTERED VOTERS;65863;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;0;0;0;0;2079;0;1863;174;0;742;0;853;0;0;3228;222;0;0;719;0;0;0;0;0;0;0;0;1153;1034;900;1560;558;1930;0;0;0;0;0;0;0;789;2435;1009
STATE SENATOR DISTRICT 6;BALLOTS CAST;55681;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;0;0;0;0;1826;0;1678;153;0;689;0;669;0;0;2844;184;0;0;582;0;0;0;0;0;0;0;0;1023;896;801;1432;494;1707;0;0;0;0;0;0;0;606;2130;851
STATE SENATOR DISTRICT 6;FRENCH, FELICIA;31795;1156;1028;788;1111;1300;1065;817;600;1162;126;590;818;218;869;1632;1171;377;374;979;397;1252;1578;992;1447;1100;532;274;128;0;0;0;0;745;0;693;37;0;346;0;487;0;0;1656;65;0;0;141;0;0;0;0;0;0;0;0;297;308;448;792;211;660;0;0;0;0;0;0;0;238;509;281
STATE SENATOR DISTRICT 6;ROGERS, WENDY;21975;360;205;138;374;665;671;440;212;427;39;227;180;54;290;638;541;217;276;634;108;728;1047;472;1062;652;422;343;461;0;0;0;0;1038;0;946;107;0;320;0;162;0;0;1097;111;0;0;423;0;0;0;0;0;0;0;0;698;560;333;607;266;998;0;0;0;0;0;0;0;338;1555;533
STATE SENATOR DISTRICT 6;Write-in;82;4;1;0;1;1;7;0;1;2;0;3;2;1;0;4;3;2;1;0;0;2;2;3;2;3;2;1;0;0;0;0;0;4;0;2;1;0;0;0;1;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;3;3;0;0;0;0;0;0;0;3;5;2
STATE SENATOR DISTRICT 6;OVER VOTES;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STATE SENATOR DISTRICT 6;UNDER VOTES;1826;40;50;23;40;50;63;61;11;63;16;37;53;33;59;72;46;23;30;50;39;75;90;51;81;58;42;20;26;0;0;0;0;39;0;37;8;0;23;0;19;0;0;86;8;0;0;17;0;0;0;0;0;0;0;0;27;28;18;31;14;46;0;0;0;0;0;0;0;27;61;35
STATE SENATOR DISTRICT 7;REGISTERED VOTERS;24806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1093;1051;590;311;0;89;0;0;351;0;800;0;152;668;0;0;21;1465;0;1108;1481;493;135;1114;999;910;1203;0;0;0;0;0;0;284;435;2003;1881;1187;951;4031;0;0;0
STATE SENATOR DISTRICT 7;BALLOTS CAST;18045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;762;816;426;214;0;77;0;0;321;0;612;0;63;475;0;0;19;984;0;752;1067;296;99;830;850;635;966;0;0;0;0;0;0;246;319;1432;1585;810;671;2718;0;0;0
STATE SENATOR DISTRICT 7;PESHLAKAI, JAMESCITA;14358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;692;770;391;200;0;40;0;0;200;0;241;0;58;424;0;0;11;915;0;675;978;267;90;510;455;430;515;0;0;0;0;0;0;121;307;1314;842;744;622;2546;0;0;0
STATE SENATOR DISTRICT 7;Write-in;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;4;4;0;1;0;0;5;0;19;0;0;4;0;0;1;8;0;10;5;2;1;21;32;22;24;0;0;0;0;0;0;10;0;14;56;12;4;21;0;0;0
STATE SENATOR DISTRICT 7;OVER VOTES;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STATE SENATOR DISTRICT 7;UNDER VOTES;3391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;37;31;10;0;36;0;0;116;0;352;0;5;47;0;0;7;61;0;66;84;27;8;299;363;183;427;0;0;0;0;0;0;115;12;104;687;54;45;151;0;0;0
STATE REPRESENTATIVE DISTRICT 6;REGISTERED VOTERS;65863;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;0;0;0;0;2079;0;1863;174;0;742;0;853;0;0;3228;222;0;0;719;0;0;0;0;0;0;0;0;1153;1034;900;1560;558;1930;0;0;0;0;0;0;0;789;2435;1009
STATE REPRESENTATIVE DISTRICT 6;BALLOTS CAST;55681;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;0;0;0;0;1826;0;1678;153;0;689;0;669;0;0;2844;184;0;0;582;0;0;0;0;0;0;0;0;1023;896;801;1432;494;1707;0;0;0;0;0;0;0;606;2130;851
STATE REPRESENTATIVE DISTRICT 6;EVANS, CORAL J;29493;1054;937;722;1001;1194;984;763;565;1101;115;559;757;203;802;1513;1087;360;363;897;370;1151;1471;908;1358;1028;522;249;129;0;0;0;0;697;0;640;32;0;301;0;465;0;0;1510;55;0;0;132;0;0;0;0;0;0;0;0;271;286;414;753;195;622;0;0;0;0;0;0;0;228;479;250
STATE REPRESENTATIVE DISTRICT 6;BARTON, BRENDA;16091;256;143;103;268;471;489;308;130;298;19;167;99;43;203;470;390;162;188;482;77;514;735;343;788;479;279;221;397;0;0;0;0;759;0;730;89;0;218;0;122;0;0;786;78;0;0;326;0;0;0;0;0;0;0;0;525;445;277;529;190;687;0;0;0;0;0;0;0;247;1143;418
STATE REPRESENTATIVE DISTRICT 6;"BLACKMAN, WALTER ""WALT""";18185;289;170;115;315;547;538;371;165;330;31;182;129;51;240;515;437;178;225;525;96;622;873;363;920;570;335;275;405;0;0;0;0;857;0;773;92;0;265;0;120;0;0;874;97;0;0;349;0;0;0;0;0;0;0;0;582;455;277;547;218;810;0;0;0;0;0;0;0;276;1330;451
STATE REPRESENTATIVE DISTRICT 6;BABBOTT, ART;23807;891;840;595;984;1161;762;580;531;688;83;367;512;132;533;1035;919;227;303;758;216;1028;1291;665;1065;828;334;230;107;0;0;0;0;620;0;588;37;0;357;0;269;0;0;1295;66;0;0;117;0;0;0;0;0;0;0;0;282;236;246;434;186;602;0;0;0;0;0;0;0;177;417;213
STATE REPRESENTATIVE DISTRICT 6;Write-in;129;2;4;3;3;2;4;3;1;6;0;1;3;2;2;12;4;2;3;2;0;3;7;3;4;4;7;0;0;0;0;0;0;3;0;5;2;0;5;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0;1;4;1
STATE REPRESENTATIVE DISTRICT 6;OVER VOTES;70;0;0;0;4;0;0;2;0;0;0;2;0;0;2;6;6;2;2;0;0;2;8;0;0;0;6;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;2;0;0;0;0;0;0;0;0;4;0
STATE REPRESENTATIVE DISTRICT 6;UNDER VOTES;23587;628;474;360;477;657;835;609;256;889;114;436;606;181;654;1141;679;307;278;662;329;794;1049;754;1049;717;513;299;190;0;0;0;0;714;0;618;54;0;232;0;362;0;0;1208;72;0;0;237;0;0;0;0;0;0;0;0;384;370;388;595;196;685;0;0;0;0;0;0;0;283;883;369
STATE REPRESENTATIVE DISTRICT 7;REGISTERED VOTERS;24806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1093;1051;590;311;0;89;0;0;351;0;800;0;152;668;0;0;21;1465;0;1108;1481;493;135;1114;999;910;1203;0;0;0;0;0;0;284;435;2003;1881;1187;951;4031;0;0;0
STATE REPRESENTATIVE DISTRICT 7;BALLOTS CAST;18045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;762;816;426;214;0;77;0;0;321;0;612;0;63;475;0;0;19;984;0;752;1067;296;99;830;850;635;966;0;0;0;0;0;0;246;319;1432;1585;810;671;2718;0;0;0
STATE REPRESENTATIVE DISTRICT 7;TELLER, ARLANDO;8320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360;407;192;131;0;31;0;0;160;0;94;0;42;186;0;0;4;480;0;324;490;191;39;277;230;222;314;0;0;0;0;0;0;85;163;729;575;507;388;1699;0;0;0
STATE REPRESENTATIVE DISTRICT 7;TSOSIE, MYRON;10941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576;569;333;160;0;33;0;0;166;0;105;0;44;288;0;0;4;729;0;548;720;195;70;316;268;303;338;0;0;0;0;0;0;88;222;1081;577;601;519;2088;0;0;0
STATE REPRESENTATIVE DISTRICT 7;"PARKS, JAMES ""JIM""";5178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;200;57;33;0;33;0;0;127;0;435;0;7;90;0;0;12;130;0;116;374;56;13;400;484;251;518;0;0;0;0;0;0;124;92;153;876;116;87;298;0;0;0
STATE REPRESENTATIVE DISTRICT 7;PEELMAN, DAVID;3772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;81;27;19;0;24;0;0;109;0;361;0;8;57;0;0;10;102;0;83;98;31;15;349;432;202;437;0;0;0;0;0;0;116;20;92;674;77;68;194;0;0;0
STATE REPRESENTATIVE DISTRICT 7;Write-in;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2;0;1;3;4;0;1;2;2;1;0;0;0;0;0;0;1;1;5;8;4;2;2;0;0;0
STATE REPRESENTATIVE DISTRICT 7;OVER VOTES;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;4;0;14;0;0;0
STATE REPRESENTATIVE DISTRICT 7;UNDER VOTES;7804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;406;374;243;83;0;33;0;0;80;0;226;0;24;328;0;0;8;525;0;432;445;115;61;317;282;286;324;0;0;0;0;0;0;78;140;804;460;311;278;1141;0;0;0
CORPORATION COMMISSIONER;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
CORPORATION COMMISSIONER;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
CORPORATION COMMISSIONER;"MUNDELL, WILLIAM ""BILL""";36500;1016;927;693;1004;1190;889;699;565;944;99;465;671;171;679;1347;1013;323;297;857;288;1136;1386;809;1242;964;461;227;123;419;477;212;128;661;32;615;38;177;306;84;395;46;200;1433;62;3;556;126;364;645;196;53;286;238;238;311;261;282;412;725;186;579;88;214;810;627;500;428;1733;190;455;224
CORPORATION COMMISSIONER;STANFIELD, SHEA;34711;978;887;681;962;1131;854;673;534;922;104;447;654;179;667;1274;963;302;295;820;291;1049;1306;766;1176;918;429;207;123;408;459;222;126;629;30;580;32;164;283;92;389;39;178;1387;58;2;535;116;342;567;168;42;257;235;234;302;234;237;398;691;173;551;86;181;742;568;477;415;1683;176;413;218
CORPORATION COMMISSIONER;TOVAR, ANNA;37670;1039;944;726;1011;1212;940;725;579;1019;112;514;716;190;740;1446;1058;338;333;884;329;1152;1435;866;1295;1010;493;252;122;380;478;221;136;705;32;612;38;175;312;99;426;39;177;1514;61;6;524;126;346;625;204;38;289;264;244;338;262;278;437;741;193;633;88;191;752;627;503;411;1710;212;485;258
CORPORATION COMMISSIONER;MARQUEZ PETERSON, LEA;22431;319;203;134;353;586;568;383;195;356;31;201;142;51;246;536;474;176;219;568;107;634;939;410;924;577;314;267;394;72;94;40;20;836;29;760;90;100;290;373;125;4;63;890;84;11;99;347;86;138;31;11;344;426;202;439;573;457;290;551;220;780;110;20;106;697;84;70;241;271;1229;421
CORPORATION COMMISSIONER;"O'CONNOR, JAMES ""JIM""";23598;300;174;118;338;574;580;384;170;364;27;187;129;46;245;549;464;172;255;554;91;641;922;403;939;595;348;282;435;92;108;44;29;899;34;832;99;110;284;398;130;4;93;925;100;12;124;378;113;180;32;18;377;457;228;485;606;492;296;571;238;840;121;47;146;770;129;68;287;292;1363;461
CORPORATION COMMISSIONER;SLOAN, ERIC;22245;292;184;118;319;570;532;354;168;344;20;182;127;44;220;487;459;167;220;543;90;587;860;361;897;545;322;252;399;153;121;74;34;818;28;777;80;101;265;381;119;6;94;851;87;10;147;339;137;147;38;14;365;419;230;429;569;462;280;545;214;779;115;40;170;681;133;107;345;255;1202;421
CORPORATION COMMISSIONER;Write-in;180;3;1;0;0;1;11;0;3;5;1;3;1;1;3;15;0;2;3;4;1;7;6;3;1;10;5;4;0;1;1;0;1;1;0;4;5;0;1;2;0;1;3;6;1;0;3;2;2;0;5;0;1;1;1;3;3;2;2;7;2;1;0;1;1;3;4;1;1;4;8;1
CORPORATION COMMISSIONER;OVER VOTES;60;0;0;0;0;0;3;3;0;0;0;0;0;0;0;6;0;0;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;9;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;3;3;3;0;3;3
CORPORATION COMMISSIONER;UNDER VOTES;43783;733;532;377;591;784;1041;733;258;1014;149;572;719;236;854;1378;852;377;421;759;435;965;1294;933;1299;817;622;423;249;761;710;465;168;929;46;854;77;136;326;404;423;50;617;1517;99;13;964;312;863;899;214;121;571;507;528;591;561;478;288;465;256;958;127;263;1569;782;597;510;2151;418;1232;546
BOARD OF SUPERVISORS DISTRICT 1;REGISTERED VOTERS;19419;1813;1441;1105;1654;2194;2064;1618;922;2126;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;351;742;0;853;152;0;0;0;21;0;719;0;0;0;0;0;0;0;0;0;0;0;0;558;0;0;0;0;0;0;0;0;789;0;0
BOARD OF SUPERVISORS DISTRICT 1;BALLOTS CAST;16563;1560;1284;949;1526;2016;1806;1318;824;1656;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;689;0;669;63;0;0;0;19;0;582;0;0;0;0;0;0;0;0;0;0;0;0;494;0;0;0;0;0;0;0;0;606;0;0
